,X,Y,Z,M200c,Density,Contrast
0,13.84176,33.33939,63.99675,29970000000.0,181.543578421,-0.645422698396
1,13.52135,63.36801,12.78256,24970000000.0,189.985599249,-0.628934376466
2,30.08406,7.31593,51.88874,20980000000.0,194.327001491,-0.620455075214
3,60.54337,48.01598,31.10253,40290000000.0,196.698355656,-0.61582352411
4,60.55549,48.01846,31.09888,36790000000.0,197.121551168,-0.614996970374
5,44.20223,0.51518,43.0176,20980000000.0,214.115039941,-0.581806562616
6,42.24328,53.29829,60.63163,55270000000.0,217.383860452,-0.575422147555
7,48.73447,41.6355,57.54607,21980000000.0,219.047456605,-0.572172936319
8,15.17138,15.83188,24.70234,22640000000.0,220.747535129,-0.568852470451
9,6.4614,8.08022,12.42093,27470000000.0,231.239865251,-0.548359638181
10,6.50863,8.06127,12.40029,89570000000.0,232.589713007,-0.545723216783
11,45.0172,30.15606,25.84214,81250000000.0,237.244863645,-0.536631125693
12,8.55047,28.08652,33.09663,26970000000.0,242.622365245,-0.526128192881
13,6.78252,32.87577,59.56531,32800000000.0,249.247563959,-0.513188351643
14,5.23961,12.31769,36.36456,22140000000.0,252.56745979,-0.506704180097
15,35.85176,59.2694,42.45051,21640000000.0,254.194573571,-0.503526223493
16,52.06805,38.16878,5.37804,41460000000.0,255.019075174,-0.501915868802
17,52.10423,38.1881,5.36736,50110000000.0,256.164621647,-0.499678473345
18,16.42353,22.674,51.52724,23470000000.0,256.47107357,-0.499079934433
19,22.14225,8.39424,6.36339,26970000000.0,258.382749851,-0.495346191697
20,10.03496,52.39318,38.78147,24310000000.0,258.937281902,-0.494263121285
21,24.63288,20.12142,62.38976,27800000000.0,259.46992453,-0.493222803652
22,51.28832,1.13887,22.27063,64430000000.0,259.80556235,-0.492567261035
23,5.82407,17.81165,46.78883,37630000000.0,264.592049527,-0.483218653268
24,5.78766,17.82046,46.79507,26470000000.0,265.263325168,-0.481907568032
25,46.68112,6.00197,30.40688,47620000000.0,265.664631257,-0.481123767076
26,37.17759,41.42148,61.4302,27800000000.0,268.875079973,-0.474853359427
27,59.82943,50.33632,52.81593,39460000000.0,269.801732216,-0.473043491765
28,19.02976,5.22431,19.38212,1.061e+11,270.385450165,-0.471903417647
29,23.06767,21.31513,11.52456,23970000000.0,271.304805933,-0.470107800911
30,35.34481,58.89788,42.11488,1.657e+11,272.829769074,-0.467129357278
31,17.06363,37.01073,25.28832,26970000000.0,273.486451765,-0.465846773896
32,17.07001,37.00111,25.32138,23310000000.0,274.121245034,-0.464606943292
33,21.18505,42.45324,2.14678,25470000000.0,275.033304329,-0.462825577483
34,42.51841,22.63756,15.11654,22810000000.0,276.667714584,-0.459633369953
35,38.38444,50.22551,51.15559,23140000000.0,277.805964583,-0.457410225423
36,39.1665,51.71494,50.82679,32300000000.0,278.907732211,-0.455258335525
