,X,Y,Z,M200c,Density,Contrast
8165,61.97345,37.06651,45.0698,42120000000.0,1218.83296258,1.38053313004
8166,29.59479,14.59856,51.12302,25640000000.0,1219.1841273,1.38121899863
8167,61.96192,37.06429,45.09106,42120000000.0,1219.22148525,1.38129196337
8168,62.56348,35.76594,45.62252,56110000000.0,1219.22522104,1.38129925985
8169,24.60827,54.97524,48.65284,20980000000.0,1219.40453919,1.38164949061
8170,59.25537,49.73663,14.14289,60100000000.0,1219.44189714,1.38172245536
8171,58.87743,8.83071,30.28924,42120000000.0,1219.5464994,1.38192675664
8172,35.73746,62.80556,36.06887,88400000000.0,1219.58012155,1.38199242491
8173,62.44895,35.84768,45.56332,22980000000.0,1219.58759314,1.38200701786
8174,54.31961,45.59699,6.39993,1.267e+12,1219.84536299,1.38251047459
8175,35.97445,60.19237,37.02937,22480000000.0,1219.9126073,1.38264181113
8176,29.39276,11.98269,59.5536,77580000000.0,1219.97238001,1.38275855472
8177,6.01097,27.17223,9.28199,25810000000.0,1219.99853058,1.38280963004
8178,58.26725,5.48842,47.19098,1.425e+11,1220.09192545,1.3829920419
8179,14.3608,52.11523,49.25756,1.147e+11,1220.16290555,1.38313067491
8180,52.39432,36.61517,23.00964,1.442e+11,1220.5663714,1.38391869414
8181,9.33384,29.49319,8.79311,96060000000.0,1220.7120674,1.38420325664
8182,8.56257,30.05072,10.58719,27140000000.0,1221.10806166,1.38497668292
8183,30.31895,36.54808,2.84489,62760000000.0,1221.2238713,1.38520287363
8184,25.98664,8.49399,32.93176,32800000000.0,1221.78424053,1.38629734478
8185,54.27669,45.61726,6.45051,5.046e+11,1222.07563253,1.38686646978
8186,32.47152,59.74293,27.75397,5.804e+11,1222.08683991,1.3868883592
8187,52.37526,36.59633,23.02293,1.445e+11,1222.12419786,1.38696132394
