,X,Y,Z,M200c,Density,Contrast
0,59.94617,50.73037,52.26289,29130000000.0,138.990715099,-0.728533759572
1,60.34689,50.33176,51.3535,24470000000.0,140.12966556,-0.726309246953
2,59.82943,50.33632,52.81593,39460000000.0,146.010740634,-0.7148227722
3,13.52135,63.36801,12.78256,24970000000.0,154.928082988,-0.697406087915
4,45.0172,30.15606,25.84214,81250000000.0,157.084103602,-0.693195110153
5,42.61286,55.56313,55.51619,29300000000.0,162.309079701,-0.682990078708
6,16.23159,4.06518,7.61408,1.019e+11,162.688729855,-0.682248574502
7,16.39127,4.02567,7.54708,31800000000.0,163.321947085,-0.681011822099
8,16.37657,4.03556,7.54361,23470000000.0,163.331286573,-0.680993580913
9,61.63054,45.94566,61.02998,25310000000.0,169.405222056,-0.669130425671
10,62.97848,45.59494,59.71234,27300000000.0,171.755970978,-0.664539119184
11,63.52726,45.94085,59.2326,26470000000.0,173.042018362,-0.662027307887
12,44.21428,55.97346,54.22963,1.202e+11,174.134738361,-0.659893089138
13,63.21883,45.61827,59.00303,61770000000.0,174.912250668,-0.658374510413
14,63.21696,45.61499,58.99976,94230000000.0,174.936066361,-0.658327995389
15,63.24923,45.59065,58.98501,1.004e+11,175.082696309,-0.658041608771
16,44.24525,55.98684,54.26778,31960000000.0,175.092969745,-0.658021543466
17,51.28832,1.13887,22.27063,64430000000.0,176.103969232,-0.656046935094
18,43.68284,21.09551,34.83786,23140000000.0,176.115176616,-0.656025045671
19,44.33908,56.07375,54.4859,46120000000.0,179.306479384,-0.649792032453
20,44.35738,56.04712,54.51008,1.17e+11,179.886461537,-0.64865925481
21,60.20597,47.4423,61.34047,58940000000.0,180.353435896,-0.647747195516
22,38.97243,27.09491,29.69646,89900000000.0,180.358572614,-0.647737162863
23,60.17649,47.46048,61.33542,28470000000.0,180.570578973,-0.647323087944
24,48.73447,41.6355,57.54607,21980000000.0,181.224810049,-0.646045292872
25,60.55337,47.19443,60.2163,1.48e+11,181.632945639,-0.645248153049
26,60.80619,47.00791,59.66098,29470000000.0,182.084976818,-0.644365279652
27,39.1665,51.71494,50.82679,32300000000.0,182.116731075,-0.64430325962
28,2.43197,45.76474,57.7991,25970000000.0,183.659147381,-0.641290727771
29,0.52246,44.55403,57.87762,28800000000.0,186.330707687,-0.636072836548
30,45.68303,23.0125,38.41002,29640000000.0,186.815427072,-0.635126119
31,38.18136,27.01505,30.25798,27800000000.0,187.138573328,-0.634494973969
32,15.87981,4.50774,5.51129,29640000000.0,188.97611743,-0.630906020645
33,59.4278,47.89866,60.61894,25970000000.0,189.600462147,-0.629686597369
34,37.69843,25.80818,30.68218,23810000000.0,190.383578147,-0.628157073932
35,59.01138,48.00805,61.40858,91730000000.0,191.029870659,-0.626894783869
36,19.02976,5.22431,19.38212,1.061e+11,191.60845189,-0.625764742403
37,37.78563,25.7747,30.35986,1.17e+11,193.27228153,-0.622515075137
38,37.74921,25.77354,30.31588,89070000000.0,194.246390042,-0.620612519449
39,6.50863,8.06127,12.40029,89570000000.0,197.470381014,-0.614315662081
40,6.4614,8.08022,12.42093,27470000000.0,198.202596809,-0.612885553108
41,38.38444,50.22551,51.15559,23140000000.0,200.372626654,-0.608647213567
42,45.28547,55.58505,55.89803,49450000000.0,201.071687269,-0.607281860803
43,10.52213,61.85159,15.52715,1.918e+11,201.512978038,-0.60641996477
44,46.29153,23.88453,38.98994,42950000000.0,201.554538756,-0.606338791493
45,34.76122,29.77532,28.5181,28140000000.0,202.020579166,-0.605428556317
46,16.33409,4.6495,4.73657,39960000000.0,202.134987883,-0.60520510179
47,10.50891,61.83776,15.57419,60600000000.0,202.412370653,-0.604663338569
48,10.53131,61.87597,15.59538,52280000000.0,202.521642652,-0.604449916694
49,10.48319,61.85778,15.59128,1.958e+11,202.763068396,-0.603978382039
50,17.12681,21.34673,4.08793,24140000000.0,204.6169566,-0.600357506641
51,21.21427,23.34024,60.99348,21980000000.0,204.969522241,-0.599668901873
52,21.34998,23.27217,61.12647,64760000000.0,206.587121419,-0.596509528478
53,15.78994,21.42778,4.41114,24140000000.0,207.242753419,-0.595228997228
54,54.55043,54.01508,57.99124,65930000000.0,207.727005829,-0.59428319174
55,32.37634,30.95225,24.86128,58100000000.0,207.995516085,-0.593758757646
56,32.3522,30.95944,24.82652,1.34e+11,208.148216701,-0.593460514257
57,21.39721,23.22407,61.29627,1.014e+11,208.286441111,-0.593190544706
58,18.26643,21.39454,3.37505,81250000000.0,208.398514957,-0.592971650475
59,17.74492,21.73198,3.59479,24810000000.0,208.602115777,-0.592573992623
