,X,Y,Z,M200c,Density,Contrast
0,13.84176,33.33939,63.99675,29970000000.0,240.884053194,-0.529523333605
1,60.54337,48.01598,31.10253,40290000000.0,248.714279241,-0.514229923357
2,60.55549,48.01846,31.09888,36790000000.0,248.953370113,-0.513762948998
3,15.17138,15.83188,24.70234,22640000000.0,255.438710007,-0.501096269518
4,13.52135,63.36801,12.78256,24970000000.0,259.323936671,-0.493507936189
5,34.76122,29.77532,28.5181,28140000000.0,272.952116355,-0.466890397743
6,30.08406,7.31593,51.88874,20980000000.0,283.860637375,-0.445584692627
7,44.20223,0.51518,43.0176,20980000000.0,294.88870383,-0.424045500332
8,47.87819,26.12441,6.12592,31800000000.0,302.420066287,-0.409335808033
9,49.08621,2.34718,46.59805,21310000000.0,304.302906902,-0.405658384958
10,32.90053,31.44941,21.7608,24140000000.0,308.845633463,-0.396785872143
11,32.92487,31.4384,21.78434,21810000000.0,309.323815206,-0.395851923425
12,48.73447,41.6355,57.54607,21980000000.0,312.790632845,-0.389080795224
13,7.19677,2.73681,48.6799,24470000000.0,314.94245069,-0.384878025996
14,10.03496,52.39318,38.78147,24310000000.0,319.006995508,-0.376939461898
15,6.78252,32.87577,59.56531,32800000000.0,320.142677149,-0.374721333694
16,35.1148,63.79329,27.98789,27800000000.0,321.995631404,-0.371102282414
17,60.25208,32.08813,62.07092,20980000000.0,322.025517763,-0.371043910619
18,6.4614,8.08022,12.42093,27470000000.0,322.354267712,-0.370401820876
19,23.09457,23.74154,16.56761,35290000000.0,322.354267712,-0.370401820876
20,59.46408,38.94183,46.35775,21480000000.0,322.653131301,-0.369818102927
21,6.50863,8.06127,12.40029,89570000000.0,323.998017454,-0.36719137216
22,62.17417,33.98336,49.18638,22480000000.0,326.000403504,-0.363280461905
23,46.99553,27.98538,45.90546,21480000000.0,331.140857245,-0.353240513193
24,35.10704,63.74039,27.91327,25140000000.0,331.409834476,-0.35271516704
25,42.24328,53.29829,60.63163,55270000000.0,332.545516116,-0.350497038836
26,21.97305,14.38328,1.31766,23640000000.0,333.681197756,-0.348278910632
27,52.06805,38.16878,5.37804,41460000000.0,334.099606782,-0.347461705504
28,22.00798,14.35063,1.3229,48950000000.0,334.757106679,-0.346177526018
29,52.10423,38.1881,5.36736,50110000000.0,335.324947499,-0.345068461916
30,8.55047,28.08652,33.09663,26970000000.0,336.042220114,-0.34366753884
31,32.40108,28.60389,6.32686,48450000000.0,336.131879191,-0.343492423455
32,22.23814,63.16563,30.28269,56770000000.0,336.43074278,-0.342908705507
33,24.71803,51.07203,20.62593,30800000000.0,339.120515087,-0.337655243972
34,32.28835,12.45289,54.28326,23970000000.0,343.424150776,-0.329249705515
35,37.17759,41.42148,61.4302,27800000000.0,344.350627904,-0.327440179875
36,46.68112,6.00197,30.40688,47620000000.0,344.589718776,-0.326973205516
37,21.18505,42.45324,2.14678,25470000000.0,344.769036929,-0.326622974747
38,46.69507,6.0026,30.39714,41460000000.0,345.157559596,-0.325864141414
39,17.06363,37.01073,25.28832,26970000000.0,352.031422156,-0.312438628601
40,17.07001,37.00111,25.32138,23310000000.0,352.061308515,-0.312380256807
41,19.96096,44.61034,25.94794,29970000000.0,352.150967592,-0.312205141422
42,49.89349,14.74953,46.65492,30970000000.0,353.316535591,-0.309928641423
43,1.19376,39.70711,24.86364,29130000000.0,353.555626463,-0.309461667065
44,19.29141,27.71374,51.51392,30630000000.0,354.302785437,-0.308002372194
45,19.69039,59.95163,31.33186,22480000000.0,357.65005764,-0.301464731172
46,16.42353,22.674,51.52724,23470000000.0,362.730738663,-0.291541526049
47,5.78766,17.82046,46.79507,26470000000.0,362.760625022,-0.291483154255
48,5.82407,17.81165,46.78883,37630000000.0,363.896306662,-0.289265026051
49,22.61716,62.01292,20.13147,21480000000.0,364.404374764,-0.288272705538
50,12.77469,18.85943,11.31126,41460000000.0,365.540056405,-0.286054577335
51,19.02976,5.22431,19.38212,1.061e+11,366.765397122,-0.283661333746
52,39.07289,22.22866,2.7173,38790000000.0,367.064260712,-0.283077615798
53,42.61286,55.56313,55.51619,29300000000.0,368.498805941,-0.280275769646
54,39.09578,20.91928,63.30025,26300000000.0,371.158691889,-0.275080679905
55,21.83305,28.97609,52.73967,38120000000.0,371.846078145,-0.273738128624
56,35.85176,59.2694,42.45051,21640000000.0,372.533464401,-0.272395577342
57,39.09946,20.89227,63.30739,22810000000.0,373.310509734,-0.270877910677
58,43.68284,21.09551,34.83786,23140000000.0,374.147327784,-0.269243500421
59,35.34481,58.89788,42.11488,1.657e+11,378.331418038,-0.261071449144
60,23.06767,21.31513,11.52456,23970000000.0,379.317667884,-0.259145179914
61,47.74835,11.57301,45.09581,21140000000.0,380.214258653,-0.257394026069
62,8.92796,19.11969,45.55996,21980000000.0,380.274031371,-0.257277282479
63,24.63288,20.12142,62.38976,27800000000.0,380.602781319,-0.256635192736
64,45.5715,56.59852,17.83767,27470000000.0,380.782099473,-0.256284961967
65,45.80372,58.3497,54.12849,33460000000.0,380.811985832,-0.256226590172
66,18.6866,45.80834,22.60674,21480000000.0,380.901644909,-0.256051474788
67,3.3824,34.0104,46.48673,48950000000.0,381.738462959,-0.254417064532
68,5.23961,12.31769,36.36456,22140000000.0,381.798235677,-0.254300320943
69,26.27922,32.27203,10.88827,40620000000.0,383.053462754,-0.251848705559
70,27.25923,41.0978,39.44437,26640000000.0,383.561530856,-0.250856385047
71,42.51841,22.63756,15.11654,22810000000.0,383.920167163,-0.250155923509
72,39.26715,54.5056,19.41165,35290000000.0,385.055848804,-0.247937795305
73,40.12349,42.981,0.61433,27970000000.0,385.832894137,-0.246420128639
74,41.49238,34.00999,49.21776,42950000000.0,388.970961827,-0.240291090181
75,3.23351,36.58663,23.18792,51610000000.0,390.764143365,-0.236788782491
