,X,Y,Z,M200c,Density,Contrast
0,60.34689,50.33176,51.3535,24470000000.0,144.835015942,-0.717119109488
1,45.0172,30.15606,25.84214,81250000000.0,148.135758528,-0.710672346624
2,59.94617,50.73037,52.26289,29130000000.0,148.305401557,-0.710341012584
3,59.82943,50.33632,52.81593,39460000000.0,151.693701836,-0.703723238602
4,13.52135,63.36801,12.78256,24970000000.0,159.569333842,-0.688341144839
5,51.28832,1.13887,22.27063,64430000000.0,171.028446816,-0.665960064812
6,42.61286,55.56313,55.51619,29300000000.0,173.726318209,-0.660690784748
7,38.97243,27.09491,29.69646,89900000000.0,176.071222655,-0.656110893252
8,48.73447,41.6355,57.54607,21980000000.0,177.93912009,-0.652462656075
9,6.50863,8.06127,12.40029,89570000000.0,180.735493886,-0.647000988503
10,19.02976,5.22431,19.38212,1.061e+11,180.805722452,-0.646863823336
11,53.75599,26.63067,20.03547,42450000000.0,180.884159551,-0.646710625877
12,6.4614,8.08022,12.42093,27470000000.0,181.451460432,-0.645602616343
13,38.18136,27.01505,30.25798,27800000000.0,183.054860672,-0.642470975251
14,44.21428,55.97346,54.22963,1.202e+11,184.682886512,-0.639291237281
15,44.24525,55.98684,54.26778,31960000000.0,184.972921368,-0.638724762954
16,44.33908,56.07375,54.4859,46120000000.0,186.503356864,-0.635735631126
17,44.35738,56.04712,54.51008,1.17e+11,186.809808787,-0.635137092214
18,16.23159,4.06518,7.61408,1.019e+11,187.640694804,-0.633514267962
19,16.37657,4.03556,7.54361,23470000000.0,188.529040556,-0.631779217663
20,16.39127,4.02567,7.54708,31800000000.0,188.56369881,-0.631711525763
21,39.1665,51.71494,50.82679,32300000000.0,189.358102455,-0.630159956143
22,52.85916,27.15522,19.98789,31130000000.0,190.096870483,-0.628717049837
23,37.78563,25.7747,30.35986,1.17e+11,190.741696404,-0.62745762421
24,37.69843,25.80818,30.68218,23810000000.0,191.042675972,-0.626869773493
25,37.74921,25.77354,30.31588,89070000000.0,191.412059986,-0.62614832034
26,61.63054,45.94566,61.02998,25310000000.0,192.087895923,-0.624828328276
27,5.6214,30.02182,35.16835,25640000000.0,194.086217837,-0.620925355787
28,11.82967,15.21346,51.05024,38120000000.0,195.019254495,-0.619103018565
29,43.68284,21.09551,34.83786,23140000000.0,195.803625488,-0.617571043969
30,12.28412,14.91362,50.91314,43450000000.0,197.406113668,-0.614441184242
31,60.20597,47.4423,61.34047,58940000000.0,198.332765911,-0.612631316579
32,60.17649,47.46048,61.33542,28470000000.0,198.589966632,-0.612128971421
33,6.06157,29.75438,35.40723,45120000000.0,200.140467433,-0.609100649545
