,X,Y,Z,M200c,Density,Contrast
0,13.84176,33.33939,63.99675,29970000000.0,202.035384624,-0.605399639406
1,60.54337,48.01598,31.10253,40290000000.0,209.232102494,-0.591343549817
2,60.55549,48.01846,31.09888,36790000000.0,209.702383067,-0.590425033072
3,13.52135,63.36801,12.78256,24970000000.0,213.364871171,-0.583271735994
4,15.17138,15.83188,24.70234,22640000000.0,227.416284675,-0.555827568995
5,30.08406,7.31593,51.88874,20980000000.0,235.710323883,-0.539628273667
6,44.20223,0.51518,43.0176,20980000000.0,248.564659562,-0.514522149292
7,48.73447,41.6355,57.54607,21980000000.0,256.844447844,-0.498350687805
8,42.24328,53.29829,60.63163,55270000000.0,256.972706182,-0.498100183238
9,6.4614,8.08022,12.42093,27470000000.0,266.891351008,-0.478727830062
10,10.03496,52.39318,38.78147,24310000000.0,267.119365832,-0.47828248861
11,6.50863,8.06127,12.40029,89570000000.0,267.903166788,-0.476751627368
12,23.09457,23.74154,16.56761,35290000000.0,273.38977348,-0.466035598671
13,35.85176,59.2694,42.45051,21640000000.0,276.710239349,-0.459550313772
14,6.78252,32.87577,59.56531,32800000000.0,277.10926529,-0.45877096623
15,52.06805,38.16878,5.37804,41460000000.0,280.985517291,-0.451200161541
16,21.97305,14.38328,1.31766,23640000000.0,281.099524703,-0.450977490815
17,22.23814,63.16563,30.28269,56770000000.0,281.484299718,-0.450225977114
18,52.10423,38.1881,5.36736,50110000000.0,283.351171086,-0.446579743973
19,34.76122,29.77532,28.5181,28140000000.0,284.705009101,-0.4439355291
20,22.00798,14.35063,1.3229,48950000000.0,284.74776188,-0.443852027578
21,8.55047,28.08652,33.09663,26970000000.0,285.360551719,-0.442655172425
22,45.0172,30.15606,25.84214,81250000000.0,285.845083219,-0.441708821839
23,46.68112,6.00197,30.40688,47620000000.0,287.398434204,-0.438674933195
24,46.69507,6.0026,30.39714,41460000000.0,287.882965704,-0.437728582608
25,37.17759,41.42148,61.4302,27800000000.0,288.18223516,-0.437144071952
26,49.08621,2.34718,46.59805,21310000000.0,294.153373353,-0.42548169267
27,21.18505,42.45324,2.14678,25470000000.0,295.535713221,-0.422781810115
28,23.06767,21.31513,11.52456,23970000000.0,296.83254753,-0.420248930605
29,5.23961,12.31769,36.36456,22140000000.0,298.400149442,-0.41718720812
30,16.42353,22.674,51.52724,23470000000.0,299.611478193,-0.414821331655
31,17.06363,37.01073,25.28832,26970000000.0,300.210017105,-0.413652310343
32,17.07001,37.00111,25.32138,23310000000.0,301.107825472,-0.411898778374
33,24.63288,20.12142,62.38976,27800000000.0,301.891626429,-0.410367917132
34,21.83305,28.97609,52.73967,38120000000.0,302.347656076,-0.409477234227
35,32.92487,31.4384,21.78434,21810000000.0,302.618423679,-0.408948391252
36,32.90053,31.44941,21.7608,24140000000.0,302.803685723,-0.408586551322
37,47.87819,26.12441,6.12592,31800000000.0,304.414040414,-0.405441327315
38,1.19376,39.70711,24.86364,29130000000.0,304.95557562,-0.404383641366
39,32.40108,28.60389,6.32686,48450000000.0,305.026830253,-0.404244472162
40,35.34481,58.89788,42.11488,1.657e+11,305.881885841,-0.402574441716
41,22.14225,8.39424,6.36339,26970000000.0,311.66776199,-0.391273902364
42,19.02976,5.22431,19.38212,1.061e+11,314.945475079,-0.384872118987
43,5.82407,17.81165,46.78883,37630000000.0,315.116486197,-0.384538112897
44,5.78766,17.82046,46.79507,26470000000.0,315.287497314,-0.384204106808
45,59.46408,38.94183,46.35775,21480000000.0,315.373002873,-0.384037103763
46,47.74835,11.57301,45.09581,21140000000.0,315.515512138,-0.383758765356
47,12.77469,18.85943,11.31126,41460000000.0,316.213807535,-0.382394907158
48,39.77582,42.91667,0.81093,22140000000.0,316.641335329,-0.381559891935
49,32.28835,12.45289,54.28326,23970000000.0,317.339630727,-0.380196033737
50,51.28832,1.13887,22.27063,64430000000.0,318.394199286,-0.37813632952
51,40.12349,42.981,0.61433,27970000000.0,320.546089183,-0.373933419564
52,26.27922,32.27203,10.88827,40620000000.0,321.101875316,-0.372847899774
53,45.80372,58.3497,54.12849,33460000000.0,322.29895314,-0.370509857149
54,6.63333,47.11186,25.81677,47120000000.0,325.505411596,-0.364247242976
55,22.89102,47.5156,38.88717,24470000000.0,326.089699582,-0.363106055505
56,17.66666,54.87786,54.70394,26300000000.0,326.545729229,-0.3622153726
57,19.29141,27.71374,51.51392,30630000000.0,327.742807053,-0.359877329975
58,19.69039,59.95163,31.33186,22480000000.0,328.056327435,-0.359264985478
59,42.51841,22.63756,15.11654,22810000000.0,328.241589479,-0.358903145548
60,39.07289,22.22866,2.7173,38790000000.0,328.783124685,-0.357845459599
61,30.14349,33.34151,6.1918,56440000000.0,329.45291823,-0.356537269083
62,43.46296,14.09799,33.63796,71590000000.0,332.630874833,-0.350330322591
63,3.23351,36.58663,23.18792,51610000000.0,332.873140583,-0.349857147298
64,38.38444,50.22551,51.15559,23140000000.0,333.08690448,-0.349439639687
65,17.81467,56.13334,26.95576,55270000000.0,333.500181348,-0.348632458304
66,17.82559,56.11765,26.96031,51940000000.0,333.699694319,-0.348242784533
67,3.28929,36.62329,23.20002,24310000000.0,334.255480451,-0.347157264743
68,5.39206,36.70353,4.04735,21640000000.0,334.540498981,-0.346600587928
69,16.00142,48.68879,1.73337,30300000000.0,335.053532334,-0.34559856966
70,7.39497,41.01477,23.85865,28800000000.0,335.139037893,-0.345431566616
71,16.01005,48.66891,1.75909,25970000000.0,336.977407408,-0.341841001156
72,43.68284,21.09551,34.83786,23140000000.0,339.898847335,-0.336135063799
73,35.43344,44.06893,48.90588,21480000000.0,340.896412188,-0.334186694945
74,38.31069,49.79446,50.82172,22810000000.0,341.9794826,-0.332071323046
75,19.96096,44.61034,25.94794,29970000000.0,342.278752056,-0.33148681239
76,39.1665,51.71494,50.82679,32300000000.0,342.74903263,-0.330568295645
77,60.25208,32.08813,62.07092,20980000000.0,343.390324321,-0.32931577281
78,0.80907,14.59752,55.82027,51280000000.0,343.988863233,-0.328146751498
79,0.41573,38.09021,22.10563,41290000000.0,344.758413263,-0.326643724096
80,59.82943,50.33632,52.81593,39460000000.0,344.943675307,-0.326281884166
81,18.6866,45.80834,22.60674,21480000000.0,345.071933645,-0.326031379599
82,9.01712,42.33713,35.32127,21980000000.0,345.128937351,-0.325920044236
83,60.34689,50.33176,51.3535,24470000000.0,345.399704954,-0.325391201261
84,46.99553,27.98538,45.90546,21480000000.0,345.442457734,-0.325307699739
85,17.71432,53.60132,41.12529,34630000000.0,346.896052234,-0.322468647981
86,50.40334,2.88047,3.93511,47450000000.0,347.480340219,-0.321327460509
87,44.99506,55.18342,23.22792,21310000000.0,347.622849484,-0.321049122101
88,2.43197,45.76474,57.7991,25970000000.0,347.765358749,-0.320770783694
89,41.2619,20.156,6.90099,28470000000.0,348.520657852,-0.319295590133
90,16.39525,60.52944,34.15802,22640000000.0,350.658296823,-0.315120514017
91,12.77104,46.07901,37.96452,31470000000.0,350.786555161,-0.31487000945
92,11.87759,51.77379,34.462,30800000000.0,351.214082956,-0.314034994227
93,32.98619,31.67216,38.18457,25640000000.0,353.009699691,-0.31052793029
94,5.41023,36.96406,4.21849,26640000000.0,353.950260839,-0.3086908968
95,46.54568,57.83041,1.56679,26470000000.0,355.446608118,-0.305768343519
96,11.90793,51.7824,34.33038,1.395e+11,355.774379427,-0.305128165181
97,11.90756,51.75329,34.33538,1.618e+11,355.931139619,-0.304821992932
98,46.54471,57.84723,1.56462,28800000000.0,356.102150736,-0.304487986843
