,X,Y,Z,M200c,Density,Contrast
0,34.76122,29.77532,28.5181,28140000000.0,371.547214555,-0.274321846572
1,49.08621,2.34718,46.59805,21310000000.0,382.545394651,-0.252841026072
2,8.92796,19.11969,45.55996,21980000000.0,420.799934116,-0.178125128679
3,15.17138,15.83188,24.70234,22640000000.0,429.407205496,-0.161314051765
4,13.84176,33.33939,63.99675,29970000000.0,444.46993041,-0.131894667167
5,60.54337,48.01598,31.10253,40290000000.0,460.728109683,-0.100140410775
6,60.55549,48.01846,31.09888,36790000000.0,464.075381886,-0.0936027697532
7,13.52135,63.36801,12.78256,24970000000.0,474.117198496,-0.0739898466876
8,19.29141,27.71374,51.51392,30630000000.0,481.529015517,-0.0595136415677
9,44.20223,0.51518,43.0176,20980000000.0,494.679013458,-0.0338300518389
10,18.6866,45.80834,22.60674,21480000000.0,499.460830892,-0.0244905646648
11,24.02968,1.86163,20.67685,23310000000.0,509.980829245,-0.00394369288181
12,58.75713,34.87637,19.66567,22980000000.0,514.045374063,0.00399487121618
13,34.7345,42.53357,53.2284,21310000000.0,519.066282367,0.013801332749
14,30.08406,7.31593,51.88874,20980000000.0,529.825371592,0.0348151788907
15,22.61716,62.01292,20.13147,21480000000.0,530.303553335,0.0357491276081
16,6.78252,32.87577,59.56531,32800000000.0,530.542644207,0.0362161019668
17,19.69039,59.95163,31.33186,22480000000.0,531.259916822,0.0376170250429
18,19.96096,44.61034,25.94794,29970000000.0,531.259916822,0.0376170250429
19,59.46408,38.94183,46.35775,21480000000.0,532.45537118,0.0399518968365
20,8.55047,28.08652,33.09663,26970000000.0,533.650825539,0.04228676863
21,16.15746,48.645,55.328,29970000000.0,541.540824303,0.0576969224673
22,7.19677,2.73681,48.6799,24470000000.0,543.214460405,0.0609657429782
23,45.19664,28.48702,4.51685,23140000000.0,544.409914763,0.0633006147717
24,48.73447,41.6355,57.54607,21980000000.0,552.060822656,0.0782437942503
25,46.00077,41.76277,48.96113,24140000000.0,552.539004399,0.0791777429677
26,47.87819,26.12441,6.12592,31800000000.0,554.929913116,0.0838474865548
27,6.46524,61.43374,21.10641,20980000000.0,555.408094859,0.0847814352722
28,42.61286,55.56313,55.51619,29300000000.0,556.603549218,0.0871163070657
29,40.88295,16.3314,35.43847,22310000000.0,560.907184907,0.0955218455224
30,26.7678,12.54021,39.51678,23810000000.0,561.146275779,0.0959888198811
31,35.10704,63.74039,27.91327,25140000000.0,564.254457111,0.102059486544
32,15.51022,49.47923,53.57681,35460000000.0,565.689002341,0.104861332696
33,58.84758,37.65111,46.66885,24640000000.0,567.362638442,0.108130153207
34,49.6122,63.83551,10.70129,22140000000.0,567.601729314,0.108597127566
35,35.1148,63.79329,27.98789,27800000000.0,570.709910645,0.114667794229
36,32.28835,12.45289,54.28326,23970000000.0,571.188092389,0.115601742947
37,16.45662,34.61818,34.54127,44620000000.0,572.86172849,0.118870563458
38,46.62433,47.71774,13.49213,26640000000.0,575.969909822,0.124941230121
39,5.78766,17.82046,46.79507,26470000000.0,576.448091565,0.125875178838
40,5.82407,17.81165,46.78883,37630000000.0,579.317182025,0.131478871143
41,29.73405,54.95689,23.39404,28470000000.0,579.556272897,0.131945845501
42,46.99553,27.98538,45.90546,21480000000.0,580.03445464,0.132879794219
43,47.06795,16.12938,49.1238,23640000000.0,580.990818127,0.134747691654
44,4.78013,16.50452,30.65716,34460000000.0,581.947181613,0.136615589088
45,47.0793,16.14267,49.13459,28970000000.0,585.533544688,0.143620204469
46,16.45572,34.62536,34.58553,23140000000.0,586.250817303,0.145021127545
47,31.64905,20.41223,28.6867,25970000000.0,588.402635148,0.149223896773
48,41.50059,23.19158,19.74334,28300000000.0,590.07627125,0.152492717284
49,1.19376,39.70711,24.86364,29130000000.0,590.554452993,0.153426666002
50,60.34689,50.33176,51.3535,24470000000.0,598.683542629,0.169303794198
51,24.63288,20.12142,62.38976,27800000000.0,599.878996988,0.171638665991
52,26.58918,3.14792,1.58514,37960000000.0,600.357178731,0.172572614709
53,24.71803,51.07203,20.62593,30800000000.0,601.791723961,0.175374460861
54,47.8512,55.69251,59.16156,36790000000.0,602.508996576,0.176775383937
55,13.28715,56.36603,52.81527,21810000000.0,605.856268779,0.183313024959
56,48.62713,40.26067,47.35888,22980000000.0,607.051723137,0.185647896752
57,47.74835,11.57301,45.09581,21140000000.0,607.768995752,0.187048819829
58,23.45751,62.48608,22.7579,34960000000.0,608.964450111,0.189383691622
59,45.28547,55.58505,55.89803,49450000000.0,609.681722726,0.190784614698
60,41.85918,45.71272,0.72587,28140000000.0,609.681722726,0.190784614698
61,60.25208,32.08813,62.07092,20980000000.0,610.159904469,0.191718563416
62,54.69617,12.16297,48.19026,33800000000.0,611.116267955,0.19358646085
63,48.63744,40.26882,47.3514,25140000000.0,612.072631442,0.195454358285
64,37.73253,41.24249,9.6407,30800000000.0,612.550813185,0.196388307003
65,21.7814,50.95667,6.50643,34300000000.0,614.463540159,0.200124101872
66,37.73921,41.21029,9.61513,34300000000.0,615.658994517,0.202458973666
67,23.09457,23.74154,16.56761,35290000000.0,616.13717626,0.203392922383
68,16.00142,48.68879,1.73337,30300000000.0,622.353538923,0.21553425571
69,29.99494,33.91204,7.1107,20980000000.0,623.788084153,0.218336101862
70,29.32228,63.23074,27.76713,24470000000.0,624.74444764,0.220203999297
71,21.51479,21.39974,17.00357,22810000000.0,624.983538512,0.220670973655
72,30.64928,31.24958,22.80912,21480000000.0,625.939901998,0.22253887109
73,59.38604,7.34235,7.05793,23970000000.0,627.135356356,0.224873742884
74,19.77234,32.69842,44.79259,40960000000.0,628.091719843,0.226741640319
75,25.01535,53.57444,2.94265,28140000000.0,629.526265073,0.229543486471
76,16.01005,48.66891,1.75909,25970000000.0,631.91717379,0.234213230058
77,21.07715,19.56936,40.59003,21310000000.0,632.156264661,0.234680204417
78,45.5715,56.59852,17.83767,27470000000.0,632.395355533,0.235147178775
79,28.04006,26.30828,18.07127,20980000000.0,637.177172966,0.244486665949
80,42.51841,22.63756,15.11654,22810000000.0,639.568081683,0.249156409536
81,18.35754,57.85741,30.34635,34960000000.0,641.241717784,0.252425230047
82,16.64755,22.98247,34.72221,37630000000.0,641.719899528,0.253359178765
83,0.52246,44.55403,57.87762,28800000000.0,643.154444757,0.256161024917
84,35.68801,27.20854,63.72804,29130000000.0,643.632626501,0.257094973634
85,29.31158,63.22417,27.81131,26970000000.0,646.501716961,0.262698665939
86,0.54304,7.65254,33.62906,49780000000.0,646.501716961,0.262698665939
87,7.43748,29.0476,61.83049,21140000000.0,651.522625265,0.272505127472
88,49.89349,14.74953,46.65492,30970000000.0,652.478988752,0.274373024906
89,34.12185,37.80072,55.57932,21640000000.0,652.718079624,0.274839999265
90,62.17417,33.98336,49.18638,22480000000.0,652.718079624,0.274839999265
91,17.51894,21.27271,27.48194,32300000000.0,655.826260955,0.280910665928
92,22.10535,42.92491,51.99739,22140000000.0,656.065351827,0.281377640287
93,29.44053,0.29264,19.22617,36630000000.0,659.890805773,0.288849230026
94,1.48338,8.68666,45.6266,25970000000.0,660.129896645,0.289316204385
95,12.23322,35.08944,18.73934,22140000000.0,661.564441875,0.292118050537
96,33.77024,40.15746,62.70568,21310000000.0,662.520805362,0.293985947972
97,21.18505,42.45324,2.14678,25470000000.0,664.911714078,0.298655691559
98,32.90053,31.44941,21.7608,24140000000.0,666.107168437,0.300990563353
99,48.69888,62.51142,3.13574,37130000000.0,666.107168437,0.300990563353
100,37.17759,41.42148,61.4302,27800000000.0,667.302622795,0.303325435146
101,41.49629,23.1876,19.74693,29640000000.0,667.780804538,0.304259383864
102,32.92487,31.4384,21.78434,21810000000.0,668.737168025,0.306127281298
103,22.12571,34.53439,37.62654,25810000000.0,671.128076741,0.310797024885
104,43.68284,21.09551,34.83786,23140000000.0,671.845349356,0.312197947962
105,12.03453,49.32309,5.56514,23470000000.0,673.040803715,0.314532819755
106,57.05585,37.02158,16.8343,29130000000.0,680.930802479,0.329942973592
107,42.68053,11.57011,43.10944,21810000000.0,681.887165966,0.331810871027
108,18.29004,4.59587,48.88181,33630000000.0,681.887165966,0.331810871027
109,32.40108,28.60389,6.32686,48450000000.0,682.126256838,0.332277845386
110,8.14481,21.22226,23.28654,20980000000.0,682.604438581,0.333211794103
111,6.42299,12.23509,50.93973,30630000000.0,684.278074683,0.336480614614
